FECHA;Temporada
01/01/2018;Navidad
02/01/2018;Navidad
03/01/2018;Navidad
04/01/2018;Navidad
05/01/2018;Navidad
06/01/2018;Navidad
07/01/2018;T. Baja
08/01/2018;T. Baja
09/01/2018;T. Baja
10/01/2018;T. Baja
11/01/2018;T. Baja
12/01/2018;T. Baja
13/01/2018;T. Baja
14/01/2018;T. Baja
15/01/2018;T. Baja
16/01/2018;T. Baja
17/01/2018;T. Baja
18/01/2018;T. Baja
19/01/2018;Tamborrada
20/01/2018;Tamborrada
21/01/2018;T. Baja
22/01/2018;T. Baja
23/01/2018;T. Baja
24/01/2018;T. Baja
25/01/2018;T. Baja
26/01/2018;T. Baja
27/01/2018;T. Baja
28/01/2018;T. Baja
29/01/2018;T. Baja
30/01/2018;T. Baja
31/01/2018;T. Baja
01/02/2018;T. Baja
02/02/2018;T. Baja
03/02/2018;T. Baja
04/02/2018;T. Baja
05/02/2018;T. Baja
06/02/2018;T. Baja
07/02/2018;T. Baja
08/02/2018;T. Baja
09/02/2018;T. Baja
10/02/2018;T. Baja
11/02/2018;T. Baja
12/02/2018;T. Baja
13/02/2018;T. Baja
14/02/2018;T. Baja
15/02/2018;T. Baja
16/02/2018;T. Baja
17/02/2018;T. Baja
18/02/2018;T. Baja
19/02/2018;T. Baja
20/02/2018;T. Baja
21/02/2018;T. Baja
22/02/2018;T. Baja
23/02/2018;T. Baja
24/02/2018;T. Baja
25/02/2018;T. Baja
26/02/2018;T. Baja
27/02/2018;T. Baja
28/02/2018;T. Baja
01/03/2018;T. Baja
02/03/2018;T. Baja
03/03/2018;T. Baja
04/03/2018;T. Baja
05/03/2018;T. Baja
06/03/2018;T. Baja
07/03/2018;T. Baja
08/03/2018;T. Baja
09/03/2018;T. Baja
10/03/2018;T. Baja
11/03/2018;T. Baja
12/03/2018;T. Baja
13/03/2018;T. Baja
14/03/2018;T. Baja
15/03/2018;T. Baja
16/03/2018;T. Baja
17/03/2018;T. Baja
18/03/2018;T. Baja
19/03/2018;T. Baja
20/03/2018;T. Baja
21/03/2018;T. Baja
22/03/2018;T. Baja
23/03/2018;T. Baja
24/03/2018;Semana Santa
25/03/2018;Semana Santa
26/03/2018;Semana Santa
27/03/2018;Semana Santa
28/03/2018;Semana Santa
29/03/2018;Semana Santa
30/03/2018;Semana Santa
31/03/2018;Semana Santa
01/04/2018;Semana Santa
02/04/2018;Semana Santa
03/04/2018;Semana Santa
04/04/2018;Semana Santa
05/04/2018;Semana Santa
06/04/2018;Semana Santa
07/04/2018;Semana Santa
08/04/2018;Semana Santa
09/04/2018;T. Media
10/04/2018;T. Media
11/04/2018;T. Media
12/04/2018;T. Media
13/04/2018;T. Media
14/04/2018;T. Media
15/04/2018;T. Media
16/04/2018;T. Media
17/04/2018;T. Media
18/04/2018;T. Media
19/04/2018;T. Media
20/04/2018;T. Media
21/04/2018;T. Media
22/04/2018;T. Media
23/04/2018;T. Media
24/04/2018;T. Media
25/04/2018;T. Media
26/04/2018;T. Media
27/04/2018;T. Media
28/04/2018;T. Media
29/04/2018;T. Media
30/04/2018;T. Media
01/05/2018;T. Media
02/05/2018;T. Media
03/05/2018;T. Media
04/05/2018;T. Media
05/05/2018;T. Media
06/05/2018;T. Media
07/05/2018;T. Media
08/05/2018;T. Media
09/05/2018;T. Media
10/05/2018;T. Media
11/05/2018;T. Media
12/05/2018;T. Media
13/05/2018;T. Media
14/05/2018;T. Media
15/05/2018;T. Media
16/05/2018;T. Media
17/05/2018;T. Media
18/05/2018;T. Media
19/05/2018;T. Media
20/05/2018;T. Media
21/05/2018;T. Media
22/05/2018;T. Media
23/05/2018;T. Media
24/05/2018;T. Media
25/05/2018;T. Media
26/05/2018;T. Media
27/05/2018;T. Media
28/05/2018;T. Media
29/05/2018;T. Media
30/05/2018;T. Media
31/05/2018;T. Media
01/06/2018;T. Media
02/06/2018;T. Media
03/06/2018;T. Media
04/06/2018;T. Media
05/06/2018;T. Media
06/06/2018;T. Media
07/06/2018;T. Media
08/06/2018;T. Media
09/06/2018;T. Media
10/06/2018;T. Media
11/06/2018;T. Media
12/06/2018;T. Media
13/06/2018;T. Media
14/06/2018;T. Media
15/06/2018;T. Media
16/06/2018;T. Media
17/06/2018;T. Media
18/06/2018;T. Media
19/06/2018;T. Media
20/06/2018;T. Alta
21/06/2018;T. Alta
22/06/2018;T. Alta
23/06/2018;T. Alta
24/06/2018;T. Alta
25/06/2018;T. Alta
26/06/2018;T. Alta
27/06/2018;T. Alta
28/06/2018;T. Alta
29/06/2018;T. Alta
30/06/2018;T. Alta
01/07/2018;T. Alta
02/07/2018;T. Alta
03/07/2018;T. Alta
04/07/2018;T. Alta
05/07/2018;T. Alta
06/07/2018;T. Alta
07/07/2018;T. Alta
08/07/2018;T. Alta
09/07/2018;T. Alta
10/07/2018;T. Alta
11/07/2018;T. Alta
12/07/2018;T. Alta
13/07/2018;T. Alta
14/07/2018;T. Alta
15/07/2018;T. Alta
16/07/2018;T. Alta
17/07/2018;T. Alta
18/07/2018;T. Alta
19/07/2018;T. Alta
20/07/2018;T. Alta
21/07/2018;T. Alta
22/07/2018;T. Alta
23/07/2018;T. Alta
24/07/2018;T. Alta
25/07/2018;T. Alta
26/07/2018;T. Alta
27/07/2018;T. Alta
28/07/2018;T. Alta
29/07/2018;T. Alta
30/07/2018;T. Alta
31/07/2018;T. Alta
01/08/2018;T. Alta
02/08/2018;Bandera Concha
03/08/2018;T. Alta
04/08/2018;T. Alta
05/08/2018;T. Alta
06/08/2018;T. Alta
07/08/2018;T. Alta
08/08/2018;T. Alta
09/08/2018;Bandera Concha
10/08/2018;T. Alta
11/08/2018;Aste Nagusia
12/08/2018;Aste Nagusia
13/08/2018;Aste Nagusia
14/08/2018;Aste Nagusia
15/08/2018;Aste Nagusia
16/08/2018;Aste Nagusia
17/08/2018;Aste Nagusia
18/08/2018;Aste Nagusia
19/08/2018;T. Alta
20/08/2018;T. Alta
21/08/2018;T. Alta
22/08/2018;T. Alta
23/08/2018;T. Alta
24/08/2018;T. Alta
25/08/2018;T. Alta
26/08/2018;T. Alta
27/08/2018;T. Alta
28/08/2018;T. Alta
29/08/2018;T. Alta
30/08/2018;T. Alta
31/08/2018;T. Alta
01/09/2018;T. Alta
02/09/2018;T. Alta
03/09/2018;T. Alta
04/09/2018;T. Alta
05/09/2018;T. Alta
06/09/2018;T. Alta
07/09/2018;T. Alta
08/09/2018;T. Media
09/09/2018;T. Media
10/09/2018;T. Media
11/09/2018;T. Media
12/09/2018;T. Media
13/09/2018;T. Media
14/09/2018;T. Media
15/09/2018;T. Media
16/09/2018;T. Media
17/09/2018;T. Media
18/09/2018;T. Media
19/09/2018;T. Media
20/09/2018;T. Media
21/09/2018;Zinemaldi
22/09/2018;Zinemaldi
23/09/2018;Zinemaldi
24/09/2018;Zinemaldi
25/09/2018;Zinemaldi
26/09/2018;Zinemaldi
27/09/2018;Zinemaldi
28/09/2018;Zinemaldi
29/09/2018;Zinemaldi
30/09/2018;T. Baja
01/10/2018;T. Baja
02/10/2018;T. Baja
03/10/2018;T. Baja
04/10/2018;T. Baja
05/10/2018;T. Baja
06/10/2018;T. Baja
07/10/2018;T. Baja
08/10/2018;T. Baja
09/10/2018;T. Baja
10/10/2018;T. Baja
11/10/2018;T. Baja
12/10/2018;T. Baja
13/10/2018;T. Baja
14/10/2018;T. Baja
15/10/2018;T. Baja
16/10/2018;T. Baja
17/10/2018;T. Baja
18/10/2018;T. Baja
19/10/2018;T. Baja
20/10/2018;T. Baja
21/10/2018;T. Baja
22/10/2018;T. Baja
23/10/2018;T. Baja
24/10/2018;T. Baja
25/10/2018;T. Baja
26/10/2018;T. Baja
27/10/2018;T. Baja
28/10/2018;T. Baja
29/10/2018;T. Baja
30/10/2018;T. Baja
31/10/2018;T. Baja
01/11/2018;T. Baja
02/11/2018;T. Baja
03/11/2018;T. Baja
04/11/2018;T. Baja
05/11/2018;T. Baja
06/11/2018;T. Baja
07/11/2018;T. Baja
08/11/2018;T. Baja
09/11/2018;T. Baja
10/11/2018;T. Baja
11/11/2018;T. Baja
12/11/2018;T. Baja
13/11/2018;T. Baja
14/11/2018;T. Baja
15/11/2018;T. Baja
16/11/2018;T. Baja
17/11/2018;T. Baja
18/11/2018;T. Baja
19/11/2018;T. Baja
20/11/2018;T. Baja
21/11/2018;T. Baja
22/11/2018;T. Baja
23/11/2018;T. Baja
24/11/2018;T. Baja
25/11/2018;T. Baja
26/11/2018;T. Baja
27/11/2018;T. Baja
28/11/2018;T. Baja
29/11/2018;T. Baja
30/11/2018;T. Baja
01/12/2018;T. Baja
02/12/2018;T. Baja
03/12/2018;T. Baja
04/12/2018;T. Baja
05/12/2018;T. Baja
06/12/2018;T. Baja
07/12/2018;T. Baja
08/12/2018;T. Baja
09/12/2018;T. Baja
10/12/2018;T. Baja
11/12/2018;T. Baja
12/12/2018;T. Baja
13/12/2018;T. Baja
14/12/2018;T. Baja
15/12/2018;T. Baja
16/12/2018;T. Baja
17/12/2018;T. Baja
18/12/2018;T. Baja
19/12/2018;T. Baja
20/12/2018;Navidad
21/12/2018;Navidad
22/12/2018;Navidad
23/12/2018;Navidad
24/12/2018;Navidad
25/12/2018;Navidad
26/12/2018;Navidad
27/12/2018;Navidad
28/12/2018;Navidad
29/12/2018;Navidad
30/12/2018;Navidad
31/12/2018;Navidad
01/01/2019;Navidad
02/01/2019;Navidad
03/01/2019;Navidad
04/01/2019;Navidad
05/01/2019;Navidad
06/01/2019;Navidad
07/01/2019;T. Baja
08/01/2019;T. Baja
09/01/2019;T. Baja
10/01/2019;T. Baja
11/01/2019;T. Baja
12/01/2019;T. Baja
13/01/2019;T. Baja
14/01/2019;T. Baja
15/01/2019;T. Baja
16/01/2019;T. Baja
17/01/2019;T. Baja
18/01/2019;T. Baja
19/01/2019;Tamborrada
20/01/2019;Tamborrada
21/01/2019;T. Baja
22/01/2019;T. Baja
23/01/2019;T. Baja
24/01/2019;T. Baja
25/01/2019;T. Baja
26/01/2019;T. Baja
27/01/2019;T. Baja
28/01/2019;T. Baja
29/01/2019;T. Baja
30/01/2019;T. Baja
31/01/2019;T. Baja
01/02/2019;T. Baja
02/02/2019;T. Baja
03/02/2019;T. Baja
04/02/2019;T. Baja
05/02/2019;T. Baja
06/02/2019;T. Baja
07/02/2019;T. Baja
08/02/2019;T. Baja
09/02/2019;T. Baja
10/02/2019;T. Baja
11/02/2019;T. Baja
12/02/2019;T. Baja
13/02/2019;T. Baja
14/02/2019;T. Baja
15/02/2019;T. Baja
16/02/2019;T. Baja
17/02/2019;T. Baja
18/02/2019;T. Baja
19/02/2019;T. Baja
20/02/2019;T. Baja
21/02/2019;T. Baja
22/02/2019;T. Baja
23/02/2019;T. Baja
24/02/2019;T. Baja
25/02/2019;T. Baja
26/02/2019;T. Baja
27/02/2019;T. Baja
28/02/2019;T. Baja
01/03/2019;T. Baja
02/03/2019;T. Baja
03/03/2019;T. Baja
04/03/2019;T. Baja
05/03/2019;T. Baja
06/03/2019;T. Baja
07/03/2019;T. Baja
08/03/2019;T. Baja
09/03/2019;T. Baja
10/03/2019;T. Baja
11/03/2019;T. Baja
12/03/2019;T. Baja
13/03/2019;T. Baja
14/03/2019;T. Baja
15/03/2019;T. Baja
16/03/2019;T. Baja
17/03/2019;T. Baja
18/03/2019;T. Baja
19/03/2019;T. Baja
20/03/2019;T. Baja
21/03/2019;T. Baja
22/03/2019;T. Baja
23/03/2019;T. Baja
24/03/2019;T. Baja
25/03/2019;T. Baja
26/03/2019;T. Baja
27/03/2019;T. Baja
28/03/2019;T. Baja
29/03/2019;T. Baja
30/03/2019;T. Baja
31/03/2019;T. Baja
01/04/2019;T. Baja
02/04/2019;T. Baja
03/04/2019;T. Baja
04/04/2019;T. Baja
05/04/2019;T. Baja
06/04/2019;T. Baja
07/04/2019;T. Baja
08/04/2019;T. Baja
09/04/2019;T. Baja
10/04/2019;T. Baja
11/04/2019;T. Baja
12/04/2019;T. Baja
13/04/2019;Semana Santa
14/04/2019;Semana Santa
15/04/2019;Semana Santa
16/04/2019;Semana Santa
17/04/2019;Semana Santa
18/04/2019;Semana Santa
19/04/2019;Semana Santa
20/04/2019;Semana Santa
21/04/2019;Semana Santa
22/04/2019;Semana Santa
23/04/2019;Semana Santa
24/04/2019;Semana Santa
25/04/2019;Semana Santa
26/04/2019;Semana Santa
27/04/2019;Semana Santa
28/04/2019;Semana Santa
29/04/2019;T. Media
30/04/2019;T. Media
01/05/2019;T. Media
02/05/2019;T. Media
03/05/2019;T. Media
04/05/2019;T. Media
05/05/2019;T. Media
06/05/2019;T. Media
07/05/2019;T. Media
08/05/2019;T. Media
09/05/2019;T. Media
10/05/2019;T. Media
11/05/2019;T. Media
12/05/2019;T. Media
13/05/2019;T. Media
14/05/2019;T. Media
15/05/2019;T. Media
16/05/2019;T. Media
17/05/2019;T. Media
18/05/2019;T. Media
19/05/2019;T. Media
20/05/2019;T. Media
21/05/2019;T. Media
22/05/2019;T. Media
23/05/2019;T. Media
24/05/2019;T. Media
25/05/2019;T. Media
26/05/2019;T. Media
27/05/2019;T. Media
28/05/2019;T. Media
29/05/2019;T. Media
30/05/2019;T. Media
31/05/2019;T. Media
01/06/2019;T. Media
02/06/2019;T. Media
03/06/2019;T. Media
04/06/2019;T. Media
05/06/2019;T. Media
06/06/2019;T. Media
07/06/2019;T. Media
08/06/2019;T. Media
09/06/2019;T. Media
10/06/2019;T. Media
11/06/2019;T. Media
12/06/2019;T. Media
13/06/2019;T. Media
14/06/2019;T. Media
15/06/2019;T. Media
16/06/2019;T. Media
17/06/2019;T. Media
18/06/2019;T. Media
19/06/2019;T. Media
20/06/2019;T. Alta
21/06/2019;T. Alta
22/06/2019;T. Alta
23/06/2019;T. Alta
24/06/2019;T. Alta
25/06/2019;T. Alta
26/06/2019;T. Alta
27/06/2019;T. Alta
28/06/2019;T. Alta
29/06/2019;T. Alta
30/06/2019;T. Alta
